Date,Number of lots,Sale total
28-1-2019,78,8750
28-1-2019,89,NA
27-1-2019,224,407550
27-1-2019,91,NA
26-1-2019,92,NA
26-1-2019,136,NA
26-1-2019,66,12436
25-1-2019,44,NA
25-1-2019,290,NA
24-1-2019,40,NA
24-1-2019,414,NA
23-1-2019,190,250794
23-1-2019,113,NA
23-1-2019,121,NA
23-1-2019,80,NA
23-1-2019,96,39800
23-1-2019,227,23614
22-1-2019,23,NA
22-1-2019,316,58530
22-1-2019,33,NA
21-1-2019,70,NA
20-1-2019,133,35846
20-1-2019,75,NA
20-1-2019,17,NA
19-1-2019,105,NA
19-1-2019,81,NA
19-1-2019,37,NA
19-1-2019,62,249660
18-1-2019,65,46310
17-1-2019,86,NA
17-1-2019,139,NA
16-1-2019,17,NA
15-1-2019,24,NA
15-1-2019,90,NA
13-1-2019,40,NA
12-1-2019,193,NA
12-1-2019,27,NA
11-1-2019,72,NA
11-1-2019,183,NA
11-1-2019,30,14050
09-1-2019,28,NA
08-1-2019,46,NA
06-1-2019,90,NA
05-1-2019,37,NA
16-9-2018,84,NA
15-9-2018,30,32400
12-9-2018,33,NA
11-9-2018,55,NA
11-9-2018,65,NA
10-9-2018,77,NA
10-9-2018,198,NA
09-9-2018,195,NA
09-9-2018,67,NA
07-9-2018,116,105800
03-9-2018,29,NA
02-9-2018,87,NA
27-8-2018,136,NA
27-8-2018,30,NA
26-8-2018,93,NA
21-8-2018,16,NA
06-8-2018,139,NA
05-8-2018,27,NA
17-7-2018,86,NA
01-7-2018,58,NA
27-6-2018,45,NA
27-6-2018,119,NA
27-6-2018,71,443250
26-6-2018,35,NA
26-6-2018,33,461875
26-6-2018,197,NA
25-6-2018,80,NA
25-6-2018,42,NA
25-6-2018,145,NA
25-6-2018,174,NA
24-6-2018,89,NA
22-6-2018,14,NA
20-6-2018,159,NA
20-6-2018,152,4608188
20-6-2018,108,NA
19-6-2018,49,2004375
19-6-2018,35,NA
19-6-2018,162,NA
19-6-2018,272,NA
19-6-2018,36,NA
19-6-2018,16,218375
19-6-2018,109,NA
18-6-2018,36,NA
18-6-2018,110,NA
17-6-2018,114,NA
17-6-2018,83,NA
16-6-2018,17,NA
13-6-2018,66,NA
12-6-2018,104,NA
12-6-2018,61,71870
11-6-2018,215,NA
11-6-2018,59,NA
11-6-2018,181,NA
11-6-2018,32,NA
11-6-2018,31,NA
10-6-2018,106,NA
09-6-2018,33,22600
09-6-2018,496,NA
08-6-2018,597,1896700
07-6-2018,28,NA
07-6-2018,181,9262750
07-6-2018,99,NA
06-6-2018,141,NA
06-6-2018,45,25383125
06-6-2018,123,7654750
06-6-2018,194,NA
05-6-2018,71,NA
05-6-2018,43,37840850
05-6-2018,129,NA
05-6-2018,68,NA
04-6-2018,82,NA
04-6-2018,205,NA
03-6-2018,73,NA
03-6-2018,71,NA
31-5-2018,94,NA
30-5-2018,451,NA
29-5-2018,104,NA
29-5-2018,38,NA
28-5-2018,222,NA
28-5-2018,260,NA
28-5-2018,54,172800
